name,1,2,3,4,5,6,7,8,9,10,Total_pop,date
Gloom,0,0,0,1,0,0,0,0,0,0,1,japanese-golden-sky-silvery-ocean,2020-10
Gloom 1st Edition,0,0,0,0,0,0,0,0,1,0,1,japanese-golden-sky-silvery-ocean,2020-10
Meganium-Holo 1st Edition,0,0,0,0,0,0,0,0,2,8,10,japanese-golden-sky-silvery-ocean,2020-10
Spinarak 1st Edition,0,0,0,0,0,0,0,0,0,1,1,japanese-golden-sky-silvery-ocean,2020-10
Ariados-Holo,0,0,0,0,0,0,0,0,0,1,1,japanese-golden-sky-silvery-ocean,2020-10
Ariados-Holo 1st Edition,0,0,0,0,0,0,0,0,1,2,3,japanese-golden-sky-silvery-ocean,2020-10
Bellossom-Holo 1st Edition,0,0,0,0,0,0,0,0,0,2,2,japanese-golden-sky-silvery-ocean,2020-10
Sunflora-Holo 1st Edition,0,0,0,0,0,0,0,0,0,6,6,japanese-golden-sky-silvery-ocean,2020-10
Shuckle 1st Edition,0,0,0,0,0,0,0,0,1,0,1,japanese-golden-sky-silvery-ocean,2020-10
Flareon-Holo,0,0,0,0,0,0,0,0,7,8,15,japanese-golden-sky-silvery-ocean,2020-10
Flareon-Holo 1st Edition,0,0,0,0,0,1,0,0,9,19,29,japanese-golden-sky-silvery-ocean,2020-10
Typhlosion-Holo,0,0,0,0,0,0,0,1,2,4,7,japanese-golden-sky-silvery-ocean,2020-10
Typhlosion-Holo 1st Edition,0,0,0,0,0,0,0,0,1,8,9,japanese-golden-sky-silvery-ocean,2020-10
Slugma 1st Edition,0,0,0,0,0,0,0,0,1,0,1,japanese-golden-sky-silvery-ocean,2020-10
Houndour 1st Edition,0,0,0,0,0,0,0,0,1,0,1,japanese-golden-sky-silvery-ocean,2020-10
Houndoom-Holo,0,0,0,0,0,0,0,0,1,1,2,japanese-golden-sky-silvery-ocean,2020-10
Houndoom-Holo 1st Edition,0,0,0,1,0,0,0,1,2,9,13,japanese-golden-sky-silvery-ocean,2020-10
Entei-Holo Gold Star,0,0,0,0,2,3,2,1,10,17,35,japanese-golden-sky-silvery-ocean,2020-10
Entei-Holo Gold Star-1st Edition,0,0,0,0,0,3,3,5,9,45,65,japanese-golden-sky-silvery-ocean,2020-10
HO-Oh EX-Holo,0,0,0,0,0,0,2,2,11,10,25,japanese-golden-sky-silvery-ocean,2020-10
HO-Oh EX-Holo 1st Edition,0,0,0,0,0,0,0,0,6,28,34,japanese-golden-sky-silvery-ocean,2020-10
Slowbro-Holo,0,0,0,0,0,0,0,1,1,2,4,japanese-golden-sky-silvery-ocean,2020-10
Slowbro-Holo 1st Edition,0,0,0,0,0,0,0,0,1,4,5,japanese-golden-sky-silvery-ocean,2020-10
Vaporeon-Holo,0,0,0,0,0,0,1,0,0,13,14,japanese-golden-sky-silvery-ocean,2020-10
Vaporeon-Holo 1st Edition,0,0,0,0,0,0,0,0,5,23,28,japanese-golden-sky-silvery-ocean,2020-10
Feraligatr-Holo,0,0,0,0,0,0,0,2,1,6,9,japanese-golden-sky-silvery-ocean,2020-10
Feraligatr-Holo 1st Edition,0,0,0,0,0,0,0,1,1,12,14,japanese-golden-sky-silvery-ocean,2020-10
Politoed EX-Holo,0,0,0,0,0,0,0,0,4,2,6,japanese-golden-sky-silvery-ocean,2020-10
Politoed EX-Holo 1st Edition,0,0,0,0,0,0,0,0,0,20,20,japanese-golden-sky-silvery-ocean,2020-10
Octillery-Holo 1st Edition,0,0,0,0,0,0,0,0,0,3,3,japanese-golden-sky-silvery-ocean,2020-10
Suicune-Holo Gold Star,1,0,0,0,0,1,0,2,7,16,27,japanese-golden-sky-silvery-ocean,2020-10
Suicune-Holo Gold Star-1st Edition,0,0,1,1,0,1,2,1,9,37,52,japanese-golden-sky-silvery-ocean,2020-10
Electabuzz,0,0,0,0,0,0,0,0,1,0,1,japanese-golden-sky-silvery-ocean,2020-10
Jolteon-Holo,0,0,0,0,0,0,0,0,2,7,9,japanese-golden-sky-silvery-ocean,2020-10
Jolteon-Holo 1st Edition,0,0,0,0,0,0,0,0,2,20,22,japanese-golden-sky-silvery-ocean,2020-10
Ampharos-Holo 1st Edition,0,0,0,0,0,0,0,0,1,5,6,japanese-golden-sky-silvery-ocean,2020-10
Raikou-Holo Gold Star,0,0,0,0,0,2,1,2,5,20,30,japanese-golden-sky-silvery-ocean,2020-10
Raikou-Holo Gold Star-1st Edition,0,0,0,0,0,1,0,2,14,43,60,japanese-golden-sky-silvery-ocean,2020-10
Espeon EX-Holo,0,0,0,0,0,0,0,1,6,27,34,japanese-golden-sky-silvery-ocean,2020-10
Espeon EX-Holo 1st Edition,0,0,0,0,2,0,0,1,5,44,52,japanese-golden-sky-silvery-ocean,2020-10
Slowking-Holo,0,0,0,0,0,0,0,0,2,0,2,japanese-golden-sky-silvery-ocean,2020-10
Slowking-Holo 1st Edition,0,0,0,0,0,0,1,1,0,8,10,japanese-golden-sky-silvery-ocean,2020-10
Unown 1st Edition,0,0,0,0,0,0,0,0,1,0,1,japanese-golden-sky-silvery-ocean,2020-10
Unown,0,0,0,1,0,0,0,0,0,0,1,japanese-golden-sky-silvery-ocean,2020-10
Poliwrath-Holo 1st Edition,0,0,0,0,0,0,0,0,0,7,7,japanese-golden-sky-silvery-ocean,2020-10
Gligar 1st Edition,0,0,0,0,0,0,0,0,0,1,1,japanese-golden-sky-silvery-ocean,2020-10
Eevee 1st Edition,0,0,0,0,0,0,0,1,0,2,3,japanese-golden-sky-silvery-ocean,2020-10
Cleffa,0,0,0,0,0,0,0,0,1,0,1,japanese-golden-sky-silvery-ocean,2020-10
Aipom 1st Edition,0,0,0,0,0,0,0,0,0,1,1,japanese-golden-sky-silvery-ocean,2020-10
Ursaring-Holo,0,0,0,0,0,0,0,0,0,1,1,japanese-golden-sky-silvery-ocean,2020-10
Ursaring-Holo 1st Edition,0,0,0,0,0,0,0,0,1,4,5,japanese-golden-sky-silvery-ocean,2020-10
Porygon 2-Holo,0,0,0,0,0,0,0,0,0,1,1,japanese-golden-sky-silvery-ocean,2020-10
Porygon 2-Holo 1st Edition,0,0,0,0,0,0,0,0,1,7,8,japanese-golden-sky-silvery-ocean,2020-10
Miltank 1st Edition,0,0,0,0,0,0,0,0,0,2,2,japanese-golden-sky-silvery-ocean,2020-10
Blissey EX-Holo,0,0,0,0,0,0,0,1,2,5,8,japanese-golden-sky-silvery-ocean,2020-10
Blissey EX-Holo 1st Edition,0,0,0,0,0,0,0,0,2,12,14,japanese-golden-sky-silvery-ocean,2020-10
Lugia EX-Holo,0,0,0,0,0,1,1,2,8,22,34,japanese-golden-sky-silvery-ocean,2020-10
Lugia EX-Holo 1st Edition,0,0,0,1,1,0,1,1,9,29,42,japanese-golden-sky-silvery-ocean,2020-10
Umbreon EX-Holo,0,0,0,0,1,0,1,5,13,17,37,japanese-golden-sky-silvery-ocean,2020-10
Umbreon EX-Holo 1st Edition,0,0,0,0,0,1,0,1,6,39,47,japanese-golden-sky-silvery-ocean,2020-10
Tyranitar EX-Holo,0,0,0,0,1,0,0,0,7,13,21,japanese-golden-sky-silvery-ocean,2020-10
Tyranitar EX-Holo 1st Edition,0,0,0,0,0,0,0,0,2,22,24,japanese-golden-sky-silvery-ocean,2020-10
Forretress-Holo 1st Edition,0,0,0,0,0,0,0,0,1,4,5,japanese-golden-sky-silvery-ocean,2020-10
Steelix EX-Holo,0,0,0,0,0,0,0,1,4,6,11,japanese-golden-sky-silvery-ocean,2020-10
Steelix EX-Holo 1st Edition,0,0,0,0,0,1,0,0,3,26,30,japanese-golden-sky-silvery-ocean,2020-10
Scizor EX-Holo,0,0,0,0,0,0,0,0,2,2,4,japanese-golden-sky-silvery-ocean,2020-10
Scizor EX-Holo 1st Edition,0,0,0,0,0,1,1,1,2,10,15,japanese-golden-sky-silvery-ocean,2020-10
Sitrus Berry 1st Edition,0,0,0,0,0,0,0,0,0,1,1,japanese-golden-sky-silvery-ocean,2020-10
Cyclone Energy 1st Edition,0,0,0,0,0,0,0,0,1,0,1,japanese-golden-sky-silvery-ocean,2020-10
